ID,TOTAL_COUNT,MALE,FEMALE,COLOUR,Min Latitude,Max Latitude,Min Longitude,Max Longitude
5796,7,4,3,2,40.51514663,40.51654366,-74.23867128,-74.23682842
5797,7,1,6,0,40.51514663,40.51654366,-74.23682842,-74.23498555
5798,12,5,2,4,40.51514663,40.51654366,-74.23498555,-74.23314269
5799,3,3,0,4,40.51514663,40.51654366,-74.23314269,-74.23129982
5811,1,0,1,0,40.51514663,40.51654366,-74.2110283,-74.20918543
5812,5,5,0,4,40.51514663,40.51654366,-74.20918543,-74.20734257
5813,4,3,1,4,40.51514663,40.51654366,-74.20734257,-74.2054997
5815,10,3,7,0,40.51514663,40.51654366,-74.20365684,-74.20181397
5816,1,0,1,0,40.51514663,40.51654366,-74.20181397,-74.19997111
5818,10,6,3,4,40.51514663,40.51654366,-74.19812824,-74.19628538
5819,2,0,2,0,40.51514663,40.51654366,-74.19628538,-74.19444251
5820,4,0,4,0,40.51514663,40.51654366,-74.19444251,-74.19259964
6115,14,5,1,4,40.51654366,40.5179407,-74.24235702,-74.24051415
6116,4,1,3,0,40.51654366,40.5179407,-74.24051415,-74.23867128
6117,2,1,1,2,40.51654366,40.5179407,-74.23867128,-74.23682842
6120,11,4,6,0,40.51654366,40.5179407,-74.23314269,-74.23129982
6121,1,0,1,0,40.51654366,40.5179407,-74.23129982,-74.22945696
6131,1,0,1,0,40.51654366,40.5179407,-74.21287117,-74.2110283
6134,1,0,1,0,40.51654366,40.5179407,-74.20734257,-74.2054997
6135,3,0,3,0,40.51654366,40.5179407,-74.2054997,-74.20365684
6136,3,2,1,4,40.51654366,40.5179407,-74.20365684,-74.20181397
6138,1,1,0,4,40.51654366,40.5179407,-74.19997111,-74.19812824
6139,21,10,7,2,40.51654366,40.5179407,-74.19812824,-74.19628538
6141,6,4,2,4,40.51654366,40.5179407,-74.19444251,-74.19259964
6437,6,3,3,2,40.5179407,40.51933773,-74.24051415,-74.23867128
6440,15,5,4,2,40.5179407,40.51933773,-74.23498555,-74.23314269
6442,2,0,1,0,40.5179407,40.51933773,-74.23129982,-74.22945696
6447,4,2,0,4,40.5179407,40.51933773,-74.22208549,-74.22024263
6452,3,2,1,4,40.5179407,40.51933773,-74.21287117,-74.2110283
